"","source_country","source_country_code","target_country_code","target_country","z","distance","m_levenshtein_distance","cult_dist","gdp_ratio"
"56","Austria","AT","BG","Bulgaria",0.000937987622069884,1767.2045,91.56,"76.49837",35.7712754397961
"57","Austria","AT","CA","Canada",0.0118694882269404,10160.656,72.61,"51.20547",2.61619403468633
"58","Austria","AT","CL","Chile",0.00102565001665585,20475.656,93.57,"81.14801",28.8491479026069
"59","Austria","AT","CO","Colombia",0.000885390185318302,15217.036,93.57,"72.28416",39.7100038553766
"60","Austria","AT","HR","Croatia",0.049818538843207,692.0199,91.36,"77.12976",30.2213525243718
"61","Austria","AT","CZ","Czech Republic",0.0213983905184354,452.4722,92.22,"41.91658",19.1087447448799
"62","Austria","AT","DK","Denmark",0.0130879955116854,1525.4352,66.64,"81.1665",1.57809227500419
"63","Austria","AT","EE","Estonia",0.00114837736907621,2310.8992,95.76,"58.02586",23.291393770005
"64","Austria","AT","FI","Finland",0.00405876886933043,3320.9744,96.31,"58.97457",7.54123721163267
"65","Austria","AT","FR","France",0.0664305626172485,1384.1785,97.01,"71.11259",8.91099430163918
"66","Austria","AT","DE","Germany",0.105948770096604,706.13934,0,"30.23243",0.507918190426332
"67","Austria","AT","GR","Greece",0.0129828006381822,2168.0835,96.66,"71.05631",24.582578573193
"68","Austria","AT","HK","Hong Kong",0.00175324789171941,14407.87,98.93,"79.46069",10.7073545846356
"69","Austria","AT","HU","Hungary",0.0201360520363974,751.5282,98.16,"45.55217",25.9800125900127
"70","Austria","AT","IS","Iceland",0.00590844539509441,4366.634,71.58,"74.47819",3.52652463457401
"71","Austria","AT","IN","India",0.00101688377719726,10890.489,93.23,"76.38062",48.960986879516
"72","Austria","AT","ID","Indonesia",0.00758279713168645,18198.863,103.55,"87.99432",43.1416143499292
"73","Austria","AT","IE","Ireland",0.0110191629994565,2646.3337,72.61,"43.12772",3.06003991407814
"74","Austria","AT","IL","Israel",0.00739870610305591,4152.224,100.34,"33.91165",15.6988004148637
"75","Austria","AT","IT","Italy",0.116398127531252,1046.8748,86.61,"45.47527",13.9145409426949
"76","Austria","AT","JP","Japan",0.0107123446184056,14681.808,100.4,"51.67204",11.8363807004324
"77","Austria","AT","KR","Korea, Republic of",0.00169188421550923,13950.966,104.41,"74.79974",NA
"78","Austria","AT","MY","Malaysia",0.00151655942633729,16294.341,101.36,"107.1774",24.8707858348501
"79","Austria","AT","MT","Malta",0.00228798849869383,2107.625,102.26,"61.16372",19.5973710334081
"80","Austria","AT","MX","Mexico",0.00389221031961709,15831.035,93.57,"75.95393",35.1781005690106
"81","Austria","AT","MA","Morocco",0.00391850903799288,3976.3909,96.67,"71.14071",46.7982373619745
"82","Austria","AT","NL","Netherlands",0.029174044918211,1219.9402,50.2,"76.60287",1.73993156992831
"83","Austria","AT","NZ","New Zealand",0.0074250048214317,29381.516,72.61,"39.73663",11.8796709698404
"84","Austria","AT","NO","Norway",0.00703052404579483,3053.153,63.68,"77.69814",22.5141352975876
"85","Austria","AT","PE","Peru",0.000596104283184599,17121.271,93.57,"77.38217",41.363172740713
"86","Austria","AT","PH","Philippines",0.00120974104528639,16540.414,100.13,"91.20855",47.4286115631266
"87","Austria","AT","PL","Poland",0.00600487402913898,1008.5212,95.93,"63.46653",25.95113323526
"88","Austria","AT","PT","Portugal",0.0307957992180514,3093.3826,94.09,"83.35467",21.5432190736687
"89","Austria","AT","RO","Romania",0.0017795466100952,1456.7625,88.15,"92.9247",32.4070155298491
"90","Austria","AT","RU","Russian Federation",0.00222662482248365,8134.9062,91.18,"97.23168",24.8740926717787
"91","Austria","AT","SG","Singapore",0.00163052053929905,15981.968,102.33,"99.995",44.1510350067918
"92","Austria","AT","SI","Slovenia",0.00856461595104932,342.218,88.95,"91.14823",19.6461546985933
